Age,Gender,Sexuality,Ethnicity,EdLevel,CompanySize,Country,Employment,DevType(Position),Currency,CurrencySymbol,Salary,SalaryFreq,DollarizedSalary,YearsCode,YearsCodePro,OperatingSystem,DatabaseWantToWorkWith,DatabaseHaveWorkedWith,FrameworkWantToWorkWith,FrameworkHaveWorkedWith,LanguageWantToWorkWith,LanguageHaveWorkedWith,PlatformWantToWorkWith,PlatformHaveWorkedWith,SurveyYear
18-24 years old,Man,Straight / Heterosexual,Middle Eastern,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, game or graphics",United States dollar,USD,78000.0,Yearly,78000.0,2,Less than 1 year,Windows,,,,,C++;Rust,C#;C++;Java;Python;Rust,,,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, full-stack;Developer, mobile;Database administrator",United States dollar,USD,107000.0,Yearly,107000.0,18,9,Linux-based;Windows,Microsoft SQL Server,Microsoft SQL Server,Angular;Angular.js;ASP.NET;ASP.NET Core ;Blazor,Angular;Angular.js;ASP.NET;ASP.NET Core ,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,AWS;Firebase;Google Cloud;Microsoft Azure,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","10,000 or more employees",USA,"Employed, full-time","Developer, back-end",United States dollar,USD,200000.0,Yearly,200000.0,7,6,Linux-based;Windows,DynamoDB;Elasticsearch;MongoDB,DynamoDB,,,C++;Go;Kotlin;Ruby;Rust,C++;Java;Kotlin;Python,AWS,AWS,2022
25-34 years old,Man,Gay or Lesbian,White;North American,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, front-end;Developer, mobile",United States dollar,USD,,,,4,2,Windows,,DynamoDB,,,Java;Kotlin,Java;Kotlin,,AWS,2022
35-44 years old,Man,Straight / Heterosexual,"White;Or, in your own words:;Hispanic or Latino/a;Multiracial","Other doctoral degree (Ph.D., Ed.D., etc.)","10,000 or more employees",Mexico,"Employed, full-time","Data scientist or machine learning specialist;Developer, back-end",Mexican peso,MXN,70000.0,Monthly,42144.0,20,12,Linux-based;macOS,Oracle,MySQL;Oracle,,,C++;Python;SQL,Python;SQL,,,2022
18-24 years old,Man,Straight / Heterosexual,White;European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Employed, full-time",Student;Marketing or sales professional,,,,,,4,,Windows,MySQL;SQLite,MySQL,,,HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;SQL;VBA,,,2022
35-44 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, front-end",United States dollar,USD,500000.0,Yearly,500000.0,25,16,macOS,,,Deno;React.js,Node.js;React.js,Dart;Rust,HTML/CSS;Java;JavaScript;PHP;TypeScript,,,2022
45-54 years old,Woman,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack;Developer, back-end",United States dollar,USD,127000.0,Yearly,127000.0,15,5,macOS,MySQL;PostgreSQL,MySQL;PostgreSQL,Django;React.js,Django;React.js,JavaScript;Python,JavaScript;Python,Heroku,Heroku,2022
18-24 years old,Man,Straight / Heterosexual,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,India,"Employed, full-time","Developer, back-end;Developer, desktop or enterprise applications",Indian rupee,INR,30000.0,Monthly,4644.0,5,2,Windows,Elasticsearch;Microsoft SQL Server;MySQL;Redis,Microsoft SQL Server,,,Java,Java,,,2022
,,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2 to 9 employees,USA,"Employed, full-time","Developer, front-end",United States dollar,USD,,,,15,13,Linux-based;macOS,PostgreSQL;Redis,Redis,Express;Next.js;Node.js;React.js,Express;Node.js;React.js,Bash/Shell;HTML/CSS;JavaScript;SQL,Bash/Shell;HTML/CSS;JavaScript;TypeScript,AWS,AWS,2022
18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Prefer not to say,White,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,USA,"Student, full-time;Independent contractor, freelancer, or self-employed","Developer, front-end;Developer, full-stack;Student;Developer, game or graphics",,,,,,8,,Linux-based;Windows Subsystem for Linux (WSL),,DynamoDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,Express,FastAPI;Fastify;Flask;jQuery;Node.js;React.js;Ruby on Rails;Svelte;Vue.js,Go;Kotlin,Assembly;Bash/Shell;C;C#;C++;Crystal;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,Google Cloud;Heroku,AWS;Heroku,2022
35-44 years old,Man,Straight / Heterosexual,Hispanic or Latino/a,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",Germany,"Employed, full-time","Developer, back-end",European Euro,EUR,72000.0,Yearly,76783.0,10,6,Linux-based,PostgreSQL,PostgreSQL,Django;FastAPI;Vue.js,Django,JavaScript;Python,Bash/Shell;Python,AWS;Google Cloud,Google Cloud,2022
18-24 years old,Man,Prefer not to say,I don't know,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Employed, full-time",Student,,,,,,2,,Windows,,MySQL,,,C++,C#;C++;Java;Lua;PHP;Python;SQL,,,2022
25-34 years old,Man,Straight / Heterosexual,European,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20 to 99 employees,Germany,"Employed, full-time","Developer, full-stack;Project manager",European Euro,EUR,87000.0,Yearly,92780.0,10,3,Linux-based,MongoDB;Redis;SQLite,MongoDB;Redis;SQLite,Angular;Express;Node.js,Angular;Express;Node.js,Bash/Shell;HTML/CSS;SQL;TypeScript,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,AWS,AWS,2022
25-34 years old,Man,Bisexual;Queer,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",100 to 499 employees,USA,"Employed, full-time","Developer, back-end",United States dollar,USD,220000.0,Yearly,220000.0,6,4,Linux-based;macOS,PostgreSQL;SQLite,MariaDB;PostgreSQL;SQLite,,,Go;Lua;Rust;SQL,Bash/Shell;Go;HTML/CSS;Lua;SQL;TypeScript,Google Cloud,Google Cloud,2022
35-44 years old,Man,Straight / Heterosexual,White;Black,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,248000.0,Weekly,12400000.0,24,16,macOS,Elasticsearch;PostgreSQL;Redis,Elasticsearch;MySQL;PostgreSQL;Redis,Django;Next.js;Node.js;React.js;Vue.js,Django;Flask;Next.js;Node.js;React.js;Vue.js,Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,AWS,AWS,2022
18-24 years old,Man,Straight / Heterosexual,European,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,Germany,"Student, part-time;Employed, part-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Student",,,,,,8,,Linux-based;Windows;Windows Subsystem for Linux (WSL),Neo4j;PostgreSQL,MariaDB;MongoDB;MySQL;Neo4j;PostgreSQL;Redis,ASP.NET Core ;React.js;Svelte,ASP.NET;ASP.NET Core ;Laravel;React.js;Svelte,C#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,,Firebase,2022
Under 18 years old,Man,Straight / Heterosexual,White,Primary/elementary school,,USA,"Student, full-time",,,,,,,9,,Linux-based;Windows,Redis,SQLite,Svelte,Django;Flask;Svelte,Bash/Shell;Dart;Python;Rust,Assembly;Bash/Shell;Dart;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,,,2022
45-54 years old,Man,Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","5,000 to 9,999 employees",USA,"Employed, full-time","Engineer, data;Engineer, site reliability;Developer, full-stack;Database administrator;DevOps specialist;Cloud infrastructure engineer;System administrator",United States dollar,USD,175000.0,Yearly,175000.0,34,30,macOS,DynamoDB;Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite,DynamoDB;Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite,Angular;Flask,Angular;Flask;Svelte,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,AWS,AWS,2022
25-34 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, QA or test;Database administrator;DevOps specialist;Project manager;Data or business analyst;Designer;System administrator;Marketing or sales professional",United States dollar,USD,105000.0,Yearly,105000.0,11,8,Windows,Microsoft SQL Server;MySQL;PostgreSQL,Microsoft SQL Server;MySQL;PostgreSQL,Angular;ASP.NET;ASP.NET Core ;jQuery;React.js,Angular;ASP.NET;ASP.NET Core ;jQuery,C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript,AWS;Google Cloud;Microsoft Azure,Microsoft Azure,2022
18-24 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, mobile",United States dollar,USD,105000.0,Yearly,105000.0,6,2,macOS,Cloud Firestore,Cloud Firestore;MongoDB;SQLite,Node.js,Node.js,Dart;JavaScript;Kotlin;Python;Swift,Java;JavaScript;Kotlin;Python,Firebase;Google Cloud,Firebase;Google Cloud,2022
18-24 years old,Woman,Bisexual,European,Some college/university study without earning a degree,,Germany,"Student, full-time;Employed, part-time","Engineer, data",,,,,,2,,Linux-based;Windows,,,,,Python,MATLAB;Python,,,2022
25-34 years old,Man,,Indian,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20 to 99 employees,India,"Employed, full-time","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Project manager;Product manager",Indian rupee,INR,,Monthly,,8,6,Windows,MySQL,MySQL,Angular;Angular.js;jQuery;Laravel,Angular;Angular.js;jQuery;Laravel,,C;HTML/CSS;JavaScript;PHP;SQL,AWS;Firebase;Microsoft Azure,AWS;Firebase;Microsoft Azure,2022
55-64 years old,Man,Straight / Heterosexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",100 to 499 employees,USA,"Employed, full-time;Independent contractor, freelancer, or self-employed","Developer, mobile",United States dollar,USD,175000.0,Yearly,175000.0,39,35,,,Cloud Firestore;DynamoDB;MongoDB;MySQL;Firebase Realtime Database;SQLite,Angular;Angular.js;Flask,Ruby on Rails,,APL;Assembly;Bash/Shell;C;C#;COBOL;Dart;Fortran;HTML/CSS;Java;JavaScript;Kotlin;LISP;Objective-C;PHP;Python;Ruby;SQL;Swift,,AWS;Firebase;Linode,2022
35-44 years old,"Non-binary, genderqueer, or gender non-conforming",Bisexual,White,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",500 to 999 employees,USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,73000.0,Yearly,73000.0,22,12,Windows,Microsoft SQL Server,Microsoft SQL Server,ASP.NET;ASP.NET Core ;jQuery;Vue.js,ASP.NET;ASP.NET Core ;jQuery;Vue.js,C#;C++;F#;HTML/CSS;SQL;TypeScript,C#;Crystal;HTML/CSS;JavaScript;SQL;TypeScript,,,2022
45-54 years old,Man,Straight / Heterosexual,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","1,000 to 4,999 employees",USA,"Employed, full-time","Developer, full-stack",United States dollar,USD,146000.0,Monthly,1752000.0,28,26,Linux-based;macOS,,,Express;jQuery;Node.js,Express;jQuery;Node.js,Bash/Shell;HTML/CSS;Java;JavaScript,Bash/Shell;HTML/CSS;Java;JavaScript,AWS,AWS,2022
