Employment,Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,OpSys,Age,Gender,Sexuality,Ethnicity,ConvertedCompYearly
"Independent contractor, freelancer, or self-employed",Slovakia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",NA,NA,"Developer, mobile","20 to 99 employees","EUR European Euro",4800,Monthly,C++;HTML/CSS;JavaScript;Objective-C;PHP;Swift,Swift,PostgreSQL;SQLite,SQLite,NA,NA,MacOS,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",62268
"Student, full-time",Netherlands,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",7,NA,NA,NA,NA,NA,NA,JavaScript;Python,NA,PostgreSQL,NA,NA,NA,Windows,"18-24 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Student, full-time","Russian Federation","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,Assembly;C;Python;R;Rust,Julia;Python;Rust,SQLite,SQLite,Heroku,NA,MacOS,"18-24 years old",Man,"Prefer not to say","Prefer not to say",NA
"Employed full-time",Austria,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",NA,NA,"Developer, front-end","100 to 499 employees","EUR European Euro",NA,Monthly,JavaScript;TypeScript,JavaScript;TypeScript,NA,NA,NA,NA,Windows,"35-44 years old",Man,"Straight / Heterosexual","White or of European descent",NA
"Independent contractor, freelancer, or self-employed","United Kingdom of Great Britain and Northern Ireland","Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",17,10,"Developer, desktop or enterprise applications;Developer, full-stack;Engineer, data;Other (please specify):","Just me - I am a freelancer, sole proprietor, etc.","GBP	Pound sterling",NA,NA,Bash/Shell;HTML/CSS;Python;SQL,Bash/Shell;HTML/CSS;Python;SQL,Elasticsearch;PostgreSQL;Redis,Cassandra;Elasticsearch;PostgreSQL;Redis,NA,NA,Linux-based,"25-34 years old",Man,NA,"White or of European descent",NA
"Student, part-time","United States of America","Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",NA,NA,NA,NA,NA,NA,NA,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Swift,C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Objective-C;Perl;Python;SQL;Swift,MySQL;PostgreSQL;SQLite,"Elasticsearch;Firebase;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite",NA,NA,Windows,"18-24 years old","Prefer not to say","Straight / Heterosexual","Prefer not to say",NA
"I prefer not to say","United States of America","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript,HTML/CSS;JavaScript;PHP,NA,NA,NA,NA,Windows,"Prefer not to say","Prefer not to say",NA,"I don't know",NA
"Student, full-time",Malaysia,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",4,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Ruby,MySQL;PostgreSQL;SQLite,PostgreSQL,"Heroku;Microsoft Azure",Heroku,Linux-based,"18-24 years old",Woman,"Straight / Heterosexual","White or of European descent;Multiracial;Southeast Asian",NA
"Employed part-time",India,"Bachelorâ€™s degree (B.A., B.S., B.Eng., etc.)",6,4,"Developer, front-end","10,000 or more employees","INR	Indian rupee",NA,Monthly,HTML/CSS;JavaScript,HTML/CSS;JavaScript,PostgreSQL,PostgreSQL,AWS,NA,Windows,"25-34 years old",Man,NA,"South Asian",NA
"Employed full-time",Sweden,"Masterâ€™s degree (M.A., M.S., M.Eng., MBA, etc.)",7,4,"Data scientist or machine learning specialist","10 to 19 employees","SEK	Swedish krona",42000,Monthly,C++;Python,Haskell;Python,PostgreSQL,NA,NA,NA,Linux-based,"25-34 years old",Man,"Straight / Heterosexual","White or of European descent",51552
